    #,   Z-Stage, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,     -25.8,        0,    92759,   1.0000,    98979,    31461,     0000,        0,        0,        0,        0,    92496,    92050,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.92215, 172763.58,        0,        0,        0,        0,       -2,      357,     1343,      181,      176,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,     -25.6,        1,    92923,   1.0000,    99357,    36505,     0000, 1.0761598e-05,        0,        0,        1,    92977,    92376,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.91461, 172765.68,        0,        0,        0,        0,       -2,      418,     1516,      226,      219,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,     -25.4,        0,    92968,   1.0000,    99416,    43769,     0000,        0,        0,        0,        2,    93067,    92549,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.922449, 172767.76,        0,        0,        0,        0,       -2,      441,     1640,      232,      232,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,     -25.2,        0,    92867,   1.0000,    99302,    47272,     0000,        0,        0,        0,        1,    92958,    92526,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.93082, 172769.86,        0,        0,        0,        0,       -2,      477,     1729,      254,      248,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,       -25,        1,    92790,   1.0000,    99204,    47853,     0000, 1.0777023e-05,        0,        0,        1,    92852,    92539,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.926359, 172777.89,        0,        0,        0,        0,       -2,      507,     1789,      263,      243,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,     -24.8,        0,    92854,   1.0000,    99268,    48186,     0000,        0,        0,        0,        1,    93102,    92585,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.92679,   172780,        0,        0,        0,        0,       -2,      527,     1749,      255,      257,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    6,     -24.6,        0,    92957,   1.0000,    99385,    48448,     0000,        0,        0,        0,        1,    93077,    92814,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.937321, 172782.1,        0,        0,        0,        0,       -2,      458,     1742,      232,      245,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    7,     -24.4,        0,    92874,   1.0000,    99293,    48560,     0000,        0,        0,        0,        0,    93123,    92625,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.946621, 172784.19,        0,        0,        0,        0,       -2,      453,     1741,      250,      250,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    8,     -24.2,        0,    92911,   1.0000,    99335,    48856,     0000,        0,        0,        0,        0,    93157,    92679,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.95364, 172786.28,        0,        0,        0,        0,       -2,      451,     1739,      247,      235,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    9,       -24,        0,    92921,   1.0000,    99331,    48822,     0000,        0,        0,        0,        1,    93061,    92844,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.94891, 172788.37,        0,        0,        0,        0,       -2,      468,     1770,      260,      226,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   10,     -23.8,        0,    92782,   1.0000,    99202,    48965,     0000,        0,        0,        0,        2,    92996,    92614,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.94733, 172790.47,        0,        0,        0,        0,       -2,      531,     1773,      281,      279,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   11,     -23.6,        0,    92771,   1.0000,    99187,    48921,     0000,        0,        0,        0,        2,    92946,    92603,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.94446, 172792.58,        0,        0,        0,        0,       -2,      473,     1794,      236,      235,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   12,     -23.4,        0,    92681,   1.0000,    99066,    48935,     0000,        0,        0,        0,        1,    92805,    92559,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.94257, 172794.69,        0,        0,        0,        0,       -2,      482,     1820,      270,      258,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   13,     -23.2,        0,    92707,   1.0000,    99081,    48966,     0000,        0,        0,        0,        0,    92900,    92503,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.949739, 172796.78,        0,        0,        0,        0,       -2,      477,     1679,      246,      271,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   14,       -23,        0,    92764,   1.0000,    99152,    49043,     0000,        0,        0,        0,        0,    93020,    92518,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.95612, 172798.87,        0,        0,        0,        0,       -2,      448,     1720,      227,      228,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   15,     -22.8,        0,    92799,   1.0000,    99205,    48954,     0000,        0,        0,        0,        1,    93110,    92523,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.95215, 172801.07,        0,        0,        0,        0,       -2,      474,     1730,      258,      256,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   16,     -22.6,        0,    92918,   1.0000,    99329,    49000,     0000,        0,        0,        0,        0,    93212,    92686,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.96179, 172803.16,        0,        0,        0,        0,       -2,      488,     1701,      237,      248,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   17,     -22.4,        0,    92820,   1.0000,    99207,    48941,     0000,        0,        0,        0,        0,    93100,    92691,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.973209, 172805.25,        0,        0,        0,        0,       -2,      473,     1826,      258,      259,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   18,     -22.2,        0,    92778,   1.0000,    99154,    48724,     0000,        0,        0,        0,        2,    93049,    92681,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.976561, 172807.33,        0,        0,        0,        0,       -2,      468,     1776,      236,      279,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   19,       -22,        0,    92751,   1.0000,    99129,    48620,     0000,        0,        0,        0,        0,    93075,    92704,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.981291, 172809.42,        0,        0,        0,        0,       -2,      476,     1765,      256,      274,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   20,     -21.8,        0,    92735,   1.0000,    99131,    48666,     0000,        0,        0,        0,        0,    93118,    92645,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.98056, 172811.52,        0,        0,        0,        0,       -2,      463,     1735,      260,      246,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
